label,temp_mean,temp_std,temp_change,temp_max,temp_min,temp_median,temp_range,eda_mean,eda_std,eda_number_of_peaks,eda_mean_peak_amplitude,eda_max_peak_amplitude,eda_min_peak_amplitude,eda_median,eda_range,bvp_mean,bvp_std,bvp_number_of_peaks,bvp_mean_peak_interval,bvp_median,bvp_range,accX_mean,accX_std,accX_peak,accX_energy,accX_median,accX_range,accY_mean,accY_std,accY_peak,accY_energy,accY_median,accY_range,accZ_mean,accZ_std,accZ_peak,accZ_energy,accZ_median,accZ_range,hr_mean,hr_std,hr_max,hr_min,hr_gradient,hr_variation_std,hr_median,hr_range
Shame,-1.6479114026365078,2.167450224731684,2.58207039579745,-1.5549520216859274,-1.7159775440803395,-1.653543313201102,2.2439572378761086,0.5025750151882395,0.2352113416406092,-0.6018723784511849,0.49962893521976715,0.5336114251563271,0.513229675204484,0.4984757478916661,0.49908737285356997,-0.5646391791957367,-1.2499509443933645,0.6429898785309928,-1.6096105682516189,-0.5921158266893064,-1.2461643927318196,-0.5480969375838508,1.0181749500724129,-0.793492425577976,-0.5987351337935007,-0.4830073349864133,-0.02676462290587831,0.7853425674265238,-0.3469362391958387,0.03767686348289709,0.11091470399343543,0.5043057725937555,-1.0378575005504884,0.9742958373008407,0.6446222970196244,0.6366067412891916,1.5072182713893023,1.1289630145780911,-0.23233672359522894,2.351024505154967,0.9339856094282792,1.7535330077232796,1.2077578150573152,-1.0643367117544815,0.6532944418428562,2.632766408831652,1.1088371009577955
Neutral,-1.3910355257681357,0.617823416214636,1.414448476884743,-1.3830410611971107,-1.409400350069396,-1.3895913590752738,0.5864346648051965,0.25070575545610974,0.0828037420044151,-0.6509647421095197,0.23874732962632172,0.30892495270470965,0.29653990476700554,0.22939666111850768,0.22909709405780596,-0.6549622533289946,-1.0986329426087285,-0.37429960471001683,1.1841679967483854,-0.6559214114618609,-1.0607468054402545,-1.1673826925870783,0.5580584343428243,-0.4323515385040142,0.5699221274168379,-1.197893889678462,1.0094442970953215,1.0395811887169482,-0.021754109860486592,0.030952600321183937,0.35479358741864964,1.0244057381264986,0.432214439788655,-0.5329703612084435,0.08139128838072028,1.1119856744938954,-0.7432340658906511,-0.3547447269841038,0.6535928403438898,-0.9129226731848852,0.21554917864150194,-0.556923536089934,-1.080292187830509,-0.8299567715306402,-0.39891610290142554,-0.9619417775418896,0.18907288479535234
Frustration,-1.2367467477912348,0.05784876912612153,0.9173372453655618,-1.248589057919618,-1.232245946289416,-1.2321209637102282,0.045316646179581414,0.1278416918278139,-0.22419504821996974,-0.9209727422303613,0.1217478717969446,0.07734327533492377,0.18594742539625528,0.11075138307930985,-0.20052360839314076,-0.5781941526296248,-1.246983475615817,0.28641418337435026,-1.6199464658059881,-0.6057884519977109,-1.2461643927318196,-0.4688061164716387,0.694309437505389,-0.7449369162400266,-0.9398240355413163,-0.3811926304105824,-0.2433693925834789,0.8763775468148381,-0.23663147114926064,0.12675586808022626,0.11902118598082567,0.5668121637203289,-0.8919109854174132,1.1731177863156035,-0.2117371983858188,0.7113172047744115,1.2829386382748529,1.1941991724159329,-0.9577242494107694,-0.2009217682819449,0.6105584938343461,1.144023823884955,-0.5366136868923765,1.71411750089901,3.0520804613706907,-0.34605875059939595,1.752414297175551
Pride,-1.064471061775974,-0.6438161193695678,0.3776014313932621,-1.1017673975053701,-1.0198856895712423,-1.0643690011357605,-0.7736194231086144,0.30097229558676447,1.3516009972957008,-0.7491494694261894,0.278065778182268,0.47227139498400417,0.11005800243727294,0.374515389469698,1.0359304301873653,-0.614482626788483,-1.2166135374176483,-0.19601175713169552,-0.8843007242386858,-0.6422487861534564,-1.2233827096516272,-0.4980806148163511,1.659445443872517,-0.6776690807706373,-0.8462489410025966,-0.25971548491488233,0.2625585908800062,0.8542418288595064,-0.9298279324480367,-0.3406785962752603,-0.1629528068716831,0.6565208154274288,-1.3871074058682384,1.102264755642682,-0.1810942962239801,1.041333562411919,0.9328788069172239,1.2316772353252594,-0.8467519064881789,0.781194966976145,0.7789907285527337,0.9524370097807564,0.4285183679227262,-0.46204414570161045,1.7129110214667709,0.7518641512745681,0.7789866458109193
Joy,-0.9607921436929818,-0.8054980253503411,0.47664218468644304,-0.9929421209743902,-0.9193157544382208,-0.9565777949335714,-0.6951849715375366,0.21399606294420045,0.049570495022293534,-0.5527800147928501,0.1783726160179157,0.28243216248465414,0.22050678468762344,0.20488370652078186,0.26886122623838027,-0.5924015343695163,-1.2460736292427568,0.7793276443261796,-0.9694954488661205,-0.6240186190755836,-1.241101796491777,-0.5308666750496701,0.7223677748888454,-0.7764193449984058,-0.5681603354604361,-0.41199158690404686,0.068564713880467,0.8103151871928198,-0.2931039109709235,0.1276957721299847,0.279059340611853,0.5192824410148075,-0.9074944494288821,1.1090540855450801,-0.1195872765373601,0.8618836723780281,1.8128198465439112,1.1813136276577454,-0.8145216171457209,0.9473565316720485,2.401217742066679,2.2320768420421024,-0.110473868599265,1.5769035439044115,3.7363231059660387,0.8040093771158507,2.6915680357308815
Frustration,0.21920343907436776,-0.995253176208167,-0.1400447763750175,0.17816700121771786,0.26572098964978935,0.21533487303320303,-1.0905390744895922,-0.615686252653488,-0.5864435092298607,1.0427218041030315,-0.611413039720782,-0.6319819012432025,-0.5917316925710443,-0.6112457140516775,-0.5820000977969183,-0.3539840438931125,-1.0113962980067852,-1.055988433685951,1.2685889540486277,-0.4189292394495154,-1.078465892280404,-1.0057951920994102,-0.9446177797785446,-0.9436408441406401,-0.45102208739762445,-0.9897093619845215,-0.5501780210965946,-0.04839681386590743,-0.5131632147120391,0.6295130960336874,-1.1369071733468108,-0.0884511284542026,-0.1904877067836492,0.6515233301164479,-1.1983088392556902,-0.7196964447213132,-0.2745257269200431,0.5277678972798959,-0.8863296136161276,-1.0008351994262663,-1.058078887690431,-1.3171000981743157,-0.44396581676186375,-0.27859921017822536,-1.2749109833518513,-0.8629296502360695,-1.1926970733029205
Neutral,0.1445027942561,-0.09205440872777243,-1.3543697926722638,0.14090316049026766,0.1309340302753681,0.13459146726928314,0.09287547001506567,-0.614962281855417,-0.579450654551798,1.7791072589780534,-0.6110519017589366,-0.6284166727360788,-0.5922571963075481,-0.6109901720369043,-0.5711769933726565,-0.3769698934745567,-0.9991945050397025,0.25495162203699945,-0.12844997872901834,-0.2867605281349381,-0.8715322709686572,-1.0412736157896212,-0.5960959479330006,-1.0580451828886959,0.4829071624206877,-0.9830608994257347,-0.30911411805050665,0.0018734308656094543,-0.15248895501751036,0.6184415670743704,-0.6509245685898566,-0.16977341800840906,0.10147569455690544,0.46603600293176717,-0.4559065045869502,0.6193767131777045,0.6227794875636645,0.5303593843600802,1.337961280666309,-0.8690194514070105,-1.0028778017862223,-1.1375941367898188,-0.3734866586131415,0.005630198688486122,-1.092696025492172,-0.7613799670018793,-1.0378923341030144
Shame,0.05054978369356623,-0.7172271514305767,-0.7553771862186413,0.025114511508067466,0.08142756482317805,0.04807490767995715,-0.6840408581254656,-0.6158120962646143,-0.584703092409154,0.5517981675196832,-0.6115295948958127,-0.6318814356554746,-0.5922857993714498,-0.6113306344732317,-0.5809418515112218,-0.217682303502888,-0.9472104238354125,-1.0664759541317346,0.9889765106269159,-0.17282198389823347,-1.0348009997100354,-1.2271178287105988,-0.10516829009122951,-0.8527880831556883,-0.06574181410417547,-1.2395922513378428,0.1993532246738122,0.07053658704004595,-0.5312795770706054,0.6457052466867803,-1.07961971208789,0.011025067345159718,-0.20338201910182413,-0.15355697699711673,-0.4598468619913003,-0.656528775174103,-1.0067949415960917,-0.31466656155100436,-0.8124574738054637,-0.9086684308597199,-0.988407930738443,-1.1631223284086365,-0.3667599247784255,-0.26075367515176834,-1.000795713095287,-0.843833230871426,-1.0729198624728804
Pride,-0.09698742207661173,-0.8975534777645751,-0.6627026639137749,-0.13487552568383276,-0.05883293403491029,-0.09633371193191655,-0.8909260594835472,-0.6172014159695547,-0.5860109208565769,0.5517981675196832,-0.6130578458758044,-0.6328943636357236,-0.5934495056585847,-0.6127393323290977,-0.5813200387178906,-0.4104390292288881,-0.7584211395145601,-1.0350133927943839,0.03751188561752825,-0.26853036105706535,-0.9019078484089136,-0.9940548680588072,-0.1314785047365407,-0.9095075368185135,-0.548863155906916,-1.069209019368123,-0.20586134200192927,0.11186307551387381,-0.41791877424045115,0.6531293069309131,-1.0373944026601574,0.15840488504468678,-0.1640518331518284,0.5942011252521469,-0.7790819912595217,-0.18073941751927822,-0.43001079328135433,0.33072749670990365,-0.7555980739886637,-0.8723450216931515,-1.0677885080816427,-1.16216123311119,-0.31014861603258026,-0.4005622720406481,-1.1558654491357019,-0.8176306956918059,-1.1157766426893236
Joy,-0.17777909291699406,-1.2717548535194962,-0.14508685100195728,-0.23467239484891242,-0.11569696031294399,-0.17803352761472124,-1.3893421322852375,-0.6184316874404655,-0.5890247408512668,0.40452107654467884,-0.6144694544889556,-0.6346380119205668,-0.5937522574241753,-0.6145368487683457,-0.5769489113512287,-0.22344518789510892,-0.8798839368788091,-1.0350133927943839,0.18019403143582755,-0.32777840406015174,-0.9829093882495974,-1.0393539822072624,0.04553569564013238,-0.9800732501278229,-0.4463196810268745,-0.9656834003252809,0.124681492756027,0.6754607247765515,0.18681978430437376,0.8759397515955407,-0.4325813268304357,0.7992040694055074,-0.024490418515272484,0.1296937798656271,0.235154060966584,-0.15982542801183158,-0.6904981583000325,-0.0053318915807027325,-0.41626987636019286,-0.7070724326425826,-1.012711260158294,-1.0537952637515768,-0.1264964813737524,0.17632823846755652,-1.3008264778212058,-0.6165018022191517,-1.1319403260073628
