label,shoulderDistance_mean,shoulderDistance_std,shoulderDistance_var,rightWristVelocity_mean,rightWristVelocity_std,rightWristVelocity_var,leftWristVelocity_mean,leftWristVelocity_std,leftWristVelocity_var,symmetry_mean,symmetry_std,symmetry_var,trunkInclination_mean,trunkInclination_std,trunkInclination_var,headInclination_mean,headInclination_std,headInclination_var
Neutral,0.12053571428571429,0.016104529404702854,0.0002593558673469388,0.011301075268817205,0.026189323776061525,0.0006858806798473814,0.007953405017921146,0.02271929329202401,0.0005161662876890071,0.12986785714285715,0.04448820512684416,0.001979200395408163,-4.852999342078314,12.57119932303101,158.03505241937532,11.00434259216874,16.85458968641627,284.0771934974496
Shame,0.11200000000000002,0.014079141387961918,0.00019822222222222225,0.022045454545454545,0.0431108268121797,0.0018585433884297524,0.01109090909090909,0.02447709335631079,0.0005991280991735538,0.18008888888888888,0.03537533492403505,0.001251414320987654,-9.675018910196847,2.2128776342779517,4.896827424287585,-3.1936732482717365,1.7357927569134421,3.012976494953168
Pride,0.11108108108108107,0.018274747572299424,0.00033396639883126374,0.012972222222222222,0.022186690343425762,0.0004922492283950619,0.013416666666666667,0.019863946961490027,0.00039457638888888886,0.16662162162162159,0.03849068076143175,0.001481532505478452,-9.012306470531046,2.1624179312691143,4.676051309474196,-0.7643685625619481,3.4189540505783604,11.68924679996618
Joy,0.11256410256410258,0.012345028838164842,0.0001523997370151216,0.006815789473684211,0.011688625292087883,0.00013662396121883654,0.010078947368421054,0.015456869668357768,0.0002389148199445984,0.04502564102564102,0.011882948739388395,0.00014120447074293224,-13.717726833202374,3.019906840063071,9.119837322659722,-5.030777018140305,2.3196759372547575,5.380896453878737
Shame,0.16596330275229357,0.10460164071594662,0.01094150324046798,0.029453703703703704,0.06932924457218068,0.004806544152949245,0.031083333333333334,0.06568120608921044,0.004314020833333334,0.1461834862385321,0.05571687358893209,0.0031043700025250383,-10.701887913615309,2.56258877046842,6.566861206530848,35.974059207790575,6.774988914824268,45.90047479599172
Neutral,0.12195876288659795,0.02581879128366151,0.0006666099833492756,0.0364551724137931,0.07196152988639808,0.0051784617835909635,0.02256896551724138,0.04667928436239161,0.0021789555885850177,0.11034707903780071,0.06682983327211972,0.00446622661517932,6.090511869808334,21.984576782779264,483.3216163179171,-3.028410162576287,29.385946367463884,863.5338439114639
Frustration,0.10944444444444448,0.002991758226185836,8.95061728395062e-06,0.00420754716981132,0.01974684927394178,0.000389938056247775,0.010792452830188681,0.03291862951970088,0.0010836361694553222,0.17942592592592585,0.02401974639198453,0.0005769482167352539,-15.938114417235361,3.4249569153555472,11.730329872041784,27.921248874995825,11.174064284945006,124.85971264408353
Pride,0.1268817204301075,0.025399114988546558,0.0006451150422014104,0.015293478260869565,0.061132169365890845,0.003737142131379963,0.007402173913043479,0.01976440574377426,0.0003906317344045369,0.14876344086021503,0.03864183421631717,0.0014931913516013408,-12.592337515201507,2.8237533223208118,7.973582825317822,22.49594382742708,9.91699048489859,98.34670027756917
Joy,0.21871794871794867,0.09551961772406346,0.009123997370151219,0.07128947368421053,0.09099794904997553,0.008280626731301942,0.04310526315789474,0.06942007501007494,0.004819146814404432,0.13974358974358972,0.05880245849941377,0.0034577291255752786,-14.099483307760835,3.4532991441968983,11.92527497931103,20.80351958852713,6.230627304562074,38.82071660835446
Pride,0.1378873239436619,0.0429515119003844,0.0018448323745288622,0.04548571428571428,0.07619312733482742,0.005805392653061225,0.028,0.04407785320154719,0.0019428571428571437,0.12650704225352122,0.06897067620198295,0.004756954175758777,-15.003445427129503,2.3335011014259357,5.445227390356054,21.74376019465164,3.795930849267926,14.409091012423918
Neutral,0.13200854700854703,0.03627742009845693,0.001316051208999927,0.016643776824034336,0.04026166738243353,0.0016210018604137118,0.011008583690987124,0.03069900830433461,0.0009424291108696052,0.14923076923076928,0.05618268197682574,0.0031564937541091395,-3.335070397824346,13.403877874477402,179.66394207390485,19.43093815141856,17.472277494900744,305.280480858815
