label,shoulderDistance_mean,shoulderDistance_std,shoulderDistance_var,rightWristVelocity_mean,rightWristVelocity_std,rightWristVelocity_var,leftWristVelocity_mean,leftWristVelocity_std,leftWristVelocity_var,symmetry_mean,symmetry_std,symmetry_var,trunkInclination_mean,trunkInclination_std,trunkInclination_var,headInclination_mean,headInclination_std,headInclination_var
Shame,1.920146065841833,0.024080126799456425,-0.23339712499694243,0.12166693548625707,0.8840312148760773,0.49458025314696813,-0.3378255024622041,-0.2401555817798125,-0.30638406047914174,1.1550123291378795,-0.06462250543672969,-0.30779411236323084,-1.3882676025615939,-0.28530615972637213,-0.31497163644001586,-0.14355884891122722,-0.4815587003548684,-0.3470458217783541
Neutral,2.3514373693427846,0.6213900619853933,0.05376926194475191,0.3697139102245411,1.1400345398292395,0.7886916984368366,-0.20337675296016802,0.18317832301692916,-0.11454365608988874,0.4515120451851616,2.233832336622501,2.5801016844435765,1.2328951667890866,2.6320909645545987,2.3291216012556304,1.1846255915230777,0.7299857263975414,0.20445835015818678
Frustration,1.392581067121693,0.44498819937535833,-0.048959695020364985,0.19840780151421789,0.7587543907579795,0.3630505068329534,-0.133834296321184,-0.03231238730397085,-0.22145189833279205,1.084818805584786,0.645120136895884,0.2853480516950867,-0.32667852815856036,-0.34194885789066465,-0.32816334811294123,-0.4737746116079311,-0.38224259949733014,-0.323612468025693
Pride,1.9475185727821567,0.5754202737676326,0.025551214822143776,0.17246870618899554,1.1681260941724798,0.8230359460304447,-0.3035178905203052,0.23357219885943944,-0.0867736641666658,1.7508958557317102,0.25288756544831587,-0.07542754367775437,-0.6058112549780784,-0.17647815054654972,-0.28554870742174454,1.9207447519046554,-0.010237681484381448,-0.20127434527044102
Joy,1.6246529698193937,-0.07583067188135685,-0.26461757094652405,-0.4205698565629786,-0.08615275490585272,-0.31130604198467726,-0.6500773978574267,-0.5972782117065972,-0.4106241461645333,1.5927074530209897,-0.4590972832173329,-0.5221067346308909,-1.831099224116276,0.03441503966828994,-0.21326344057914298,-0.5682536121288797,0.27754449312292867,-0.06920263331312367
Frustration,-0.578440572228586,-0.6732070047281782,-0.35074982331114324,-0.9591762649216818,-1.1379099908098853,-0.6330849616161023,-0.9667311972843217,-1.0562317579245952,-0.4671907433268195,1.3208633043693683,-1.247845552356278,-0.7034672609735841,-0.19732717147241624,-0.41147655622010454,-0.3423695298691901,-0.5564726384761685,-0.611374906292613,-0.37181175837012326
Neutral,0.016225615552662654,0.14963253951840844,-0.1873317487906133,-0.013450163247304548,-0.059470869180530975,-0.29567560190212866,-0.24942266630464258,-0.05399697849841944,-0.23114717411915087,0.08464628101037808,0.683306458115715,0.32482459158341503,0.3397768843013817,2.222251423685021,1.7249700222883881,0.31955967463698964,2.4884702996376054,2.0345264961733833
Shame,-0.46555478742943546,0.04614802837640988,-0.2258515736046729,0.9033244363153289,0.6784207310703693,0.28299356675113185,0.04149698829589117,0.02886503865269499,-0.1930516639487385,1.1398832004085027,0.27959197977156197,-0.05344986786672236,-0.5527079351897877,-0.29098040842879913,-0.3163586182771512,-0.9483385395139519,-0.6679486399758039,-0.38052596536370425
Pride,-0.5174212290939126,0.2605169548940826,-0.14032024479478641,0.12914207401199743,-0.23401266860113948,-0.3912261384860822,0.25714884878243804,-0.1885969033818437,-0.2869804441921185,0.8569109648780121,0.4176066986927794,0.06615647650750112,-0.43004962081872783,-0.30322340837139755,-0.3193015582670578,-0.7313989961823535,-0.31654751920402946,-0.30597486035094235
Joy,-0.43371520710146905,-0.04245414957550428,-0.2547239580195314,-0.3961615310131628,-0.691799072310984,-0.5667151143039781,-0.052335417312690174,-0.39634482743143273,-0.35845919781075364,-1.6980458632527724,-0.7611576657869177,-0.6304931031497433,-1.3009536442645242,-0.09517151675989613,-0.260066003841955,-1.1123938987418125,-0.5460487336840111,-0.3601795442272306
Shame,2.5802901033440366,4.6712749240030425,6.543404568521323,1.535440492594355,1.8217204837979986,1.7377316931608564,1.8952600496118424,1.9712110228959643,1.5128022874507692,0.4274678755970498,1.1807541260605394,0.9096433176915731,-0.7427662674322242,-0.20613025741708832,-0.29409711047585263,2.549382451325752,0.3841069083210479,-0.012013888494912176
Neutral,0.09654659461170678,0.645969850364645,0.06927583891680225,2.132847611961365,1.9365058677369418,1.9212603963044137,1.1057799767332601,1.0754677606093859,0.5323945758742922,-0.3255214323094856,1.6730757131687057,1.6174826019353392,2.3652596702103406,4.506212145355754,6.061031637855276,-0.9335803667119813,5.104697751566906,7.0135246228682915
Frustration,-0.6097977346727962,-0.5203470910065258,-0.34511011036662465,-0.6187123394060468,-0.3404061862027771,-0.4417132227065595,0.013823146202847934,0.4267957979944267,0.029431208457008008,1.125953120312778,-0.2234784468317317,-0.40401071255815646,-1.7119146916310997,0.0031054795927530437,-0.22526820461705543,1.8302577542842846,1.3025215731770943,0.6664456598595935
Pride,0.37441255752770014,0.6245270473664623,0.05573204702094599,0.3272055005275292,1.4642727483080824,1.2100181620247683,-0.3005346199166618,-0.19328923799781345,-0.2887918032058423,0.48167750197309017,0.4243030344059967,0.07221628428612568,-1.0926606524703848,-0.14276409783470667,-0.27534554710998055,1.3457721290856093,1.0400766465430553,0.43863182976273335
