label,word-count,sentence-count,word-length_mean,sentence-length_mean,lexical-diversity,sentiment-score,dominant-topic,bigram-count,noun-count,emotion-word-count,question-count,exclamation-count,adj-count,adv-count,flesch-reading-ease,modal_count,negation-count,compound-count,unique-words-count,pronoun-count,bert-aggregated-value,vader-neg,vader-neu,vader-pos,vader-compound,flesch-kincaid-grade,gunning-fog
Frustration,223,9,3.57847533632287,24.77777777777778,0.515695067264574,0.03529411764705882,4,86,36,0,1,0,16,13,-25.29,0,1,1,115,31,-0.009363788180053234,0.1,0.614,0.286,0.9539,38.4,45.99540229885058
Neutral,271,30,3.660516605166052,9.033333333333333,0.5092250922509225,0.19940711462450592,3,117,60,0,0,0,20,9,-56.75,1,0,0,138,35,-0.010596037842333317,0.0,0.714,0.286,0.9907,50.5,61.40338983050847
Shame,154,8,3.603896103896104,19.25,0.6103896103896104,0.12999999999999998,3,62,26,0,2,0,9,9,-0.93,0,0,0,94,20,-0.009266368113458157,0.039,0.58,0.381,0.9753,29.0,37.993650793650794
Pride,172,5,3.4593023255813953,34.4,0.5174418604651163,0.0640625,1,56,26,0,0,0,11,7,5.16,0,1,0,89,24,-0.009491583332419395,0.162,0.605,0.233,0.78,26.7,32.51929824561403
Joy,91,2,3.7472527472527473,45.5,0.5934065934065934,0.19999999999999998,4,31,10,0,0,0,6,6,30.54,1,0,1,54,18,-0.010055371560156345,0.0,0.828,0.172,0.7003,17.0,27.3
Shame,316,6,3.449367088607595,52.666666666666664,0.4050632911392405,0.24229910714285713,2,111,51,0,1,0,12,11,-33.74,3,1,1,128,43,-0.008558908477425575,0.086,0.61,0.304,0.9777,45.8,57.15714285714286
Neutral,270,30,3.6814814814814816,9.0,0.5185185185185185,0.21749999999999997,4,116,60,0,0,0,18,9,-64.2,1,0,0,140,35,-0.01052806992083788,0.0,0.712,0.288,0.9909,51.3,61.10769230769231
Frustration,241,5,3.6182572614107884,48.2,0.4107883817427386,0.2685974025974026,1,89,36,0,0,0,13,9,-2.95,4,0,0,99,34,-0.009549201466143131,0.068,0.449,0.483,0.9941,36.0,46.44444444444445
Pride,199,3,3.798994974874372,66.33333333333333,0.5175879396984925,0.1716666666666667,4,73,31,0,0,0,15,3,-3.63,3,0,1,103,30,-0.00936772022396326,0.054,0.633,0.313,0.9758,32.2,40.24864864864865
Joy,167,3,3.6107784431137726,55.666666666666664,0.5149700598802395,0.25357142857142856,1,65,27,1,0,0,4,8,12.95,3,0,0,86,28,-0.00973548274487257,0.032,0.841,0.127,0.7841,27.9,35.67272727272728
Frustration,495,14,3.4383838383838383,35.357142857142854,0.36767676767676766,-0.07670807453416151,2,186,72,2,1,0,27,15,-109.87,5,4,5,182,73,-0.009187343530356884,0.114,0.78,0.106,-0.7648,75.0,84.92834224598931
Neutral,272,30,3.7095588235294117,9.066666666666666,0.5147058823529411,0.23412698412698413,4,118,60,0,0,0,20,9,-66.23,1,0,0,140,35,-0.010659930296242237,0.0,0.701,0.299,0.9917,52.1,61.028571428571425
Shame,1424,36,3.1523876404494384,39.55555555555556,0.23665730337078653,0.11099386724386723,2,548,240,2,5,0,72,39,-460.38,8,6,3,337,259,-0.00936852116137743,0.124,0.602,0.274,0.997,213.9,226.84590163934428
Pride,1594,30,3.202634880803011,53.13333333333333,0.2383939774153074,0.09081104219163924,4,656,286,0,6,0,91,65,-570.0,7,6,4,380,224,-0.009873166680335999,0.041,0.775,0.184,0.9972,256.0,269.6097412480974
Joy,663,16,3.2383107088989442,41.4375,0.33182503770739064,0.22142080142080145,3,251,103,0,1,0,42,22,-167.38,3,2,0,220,100,-0.009712807834148407,0.0,0.75,0.25,0.9957,99.2,108.9904761904762
Pride,388,17,3.461340206185567,22.823529411764707,0.45103092783505155,0.1431818181818182,2,135,49,0,3,0,27,9,-66.56,3,1,0,175,45,-0.00941439438611269,0.077,0.721,0.202,0.9459,56.3,68.45882352941176
Neutral,274,30,3.645985401459854,9.133333333333333,0.5182481751824818,0.20392561983471075,0,117,57,0,0,0,21,9,-65.21,1,0,0,142,35,-0.010720967315137386,0.0,0.716,0.284,0.9907,51.7,61.06440677966103
Shame,676,25,3.794378698224852,27.04,0.3890532544378698,-0.04537037037037035,3,264,130,0,0,0,40,22,-205.96,6,7,1,263,76,-0.010350801981985569,0.192,0.604,0.203,0.4133,107.8,119.01886792452831
Frustration,311,6,3.572347266881029,51.833333333333336,0.5176848874598071,-0.13669871794871793,0,131,46,0,0,0,19,16,-54.04,4,3,0,161,39,-0.009673081338405609,0.129,0.725,0.146,0.1372,53.6,62.375757575757575
Joy,510,13,3.6294117647058823,39.23076923076923,0.3980392156862745,0.27231601731601723,4,198,93,0,1,0,38,12,-122.05,2,2,0,203,59,-0.009452148340642452,0.063,0.575,0.362,0.9976,79.7,90.64522613065327
Frustration,1028,41,3.3589494163424125,25.073170731707318,0.25778210116731515,-0.04681085043988267,1,395,193,2,1,0,52,22,-322.0,11,7,5,265,167,-0.010346608236432076,0.115,0.779,0.106,-0.8885,156.5,165.75353535353537
Neutral,270,30,3.6481481481481484,9.0,0.5148148148148148,0.21666666666666665,3,117,55,0,0,0,21,9,-65.21,1,0,0,139,35,-0.01058254111558199,0.0,0.734,0.266,0.9891,51.7,61.06440677966103
Shame,491,20,3.2342158859470467,24.55,0.3421588594704684,0.07669172932330826,2,169,78,2,1,0,25,13,-84.15,2,6,1,168,75,-0.009592164307832718,0.17,0.753,0.077,-0.9393,67.2,75.88235294117648
Pride,789,24,3.3992395437262357,32.875,0.28517110266159695,0.24039682539682541,4,294,138,0,1,0,36,20,-219.49,4,8,1,225,104,-0.009468154050409794,0.038,0.812,0.15,0.981,117.2,124.88135593220339
Joy,1579,60,3.0683977200759975,26.316666666666666,0.2064597846738442,-0.10646989374262102,0,580,245,7,1,0,75,45,-484.4,15,14,1,326,288,-0.009720598347485065,0.15,0.74,0.11,-0.9758,225.2,238.04888123924272
Shame,534,21,3.51310861423221,25.428571428571427,0.42134831460674155,-0.011959459459459438,4,192,75,0,0,0,46,24,-132.88,5,4,2,225,68,-0.009638682007789612,0.161,0.607,0.232,0.9223,79.7,90.3917098445596
Neutral,274,30,3.6605839416058394,9.133333333333333,0.5182481751824818,0.22792207792207791,0,119,54,0,0,0,23,9,-67.24,1,0,0,142,35,-0.010730556212365627,0.0,0.752,0.248,0.9876,52.5,60.666666666666664
Pride,718,20,3.7924791086350975,35.9,0.40947075208913647,0.1991341991341991,0,282,134,0,2,3,43,24,-232.69,7,4,4,294,71,-0.010014980100095272,0.029,0.723,0.248,0.996,116.0,127.92084805653711
Frustration,798,40,3.4611528822055138,19.95,0.3583959899749373,0.039520202020202046,3,278,108,1,4,0,53,21,-211.71,7,7,0,286,125,-0.009541665203869343,0.117,0.686,0.197,0.9618,112.1,123.20573476702509
Joy,712,34,3.63061797752809,20.941176470588236,0.41853932584269665,0.27541104728604726,4,280,124,2,1,0,49,26,-222.2,3,5,2,298,78,-0.01002757903188467,0.059,0.599,0.341,0.9982,114.1,126.49964412811387
Pride,152,10,3.3157894736842106,15.2,0.5526315789473685,0.3666666666666667,0,58,22,1,3,0,7,4,28.51,0,0,0,84,16,-0.009028141386806965,0.038,0.769,0.192,0.875,23.9,29.66779661016949
Neutral,271,30,3.678966789667897,9.033333333333333,0.5166051660516605,0.19361001317523058,4,117,57,0,0,0,20,9,-65.21,1,0,0,140,35,-0.010547656565904617,0.0,0.719,0.281,0.9904,51.7,61.06440677966103
Shame,164,12,3.2439024390243905,13.666666666666666,0.5182926829268293,0.061538461538461556,4,62,26,0,1,0,11,3,32.91,0,1,0,85,25,-0.009499351494014263,0.195,0.577,0.228,0.4019,24.3,35.453968253968256
Frustration,462,26,2.909090909090909,17.76923076923077,0.3333333333333333,0.13029300945967612,3,176,85,2,1,0,31,17,-74.34,5,4,0,154,69,-0.00934016052633524,0.186,0.523,0.29,0.9533,67.6,75.73785310734463
Joy,304,24,3.0164473684210527,12.666666666666666,0.40460526315789475,0.525625,4,111,43,0,0,0,25,13,-16.82,1,0,0,123,53,-0.00937159638851881,0.045,0.476,0.479,0.9963,43.4,51.44285714285715
Shame,107,3,3.7476635514018692,35.666666666666664,0.6261682242990654,0.16874999999999998,4,39,14,0,0,0,7,5,22.42,1,0,0,67,14,-0.008825957775115967,0.15,0.607,0.243,0.7096,20.1,33.0
Neutral,275,30,3.6618181818181816,9.166666666666666,0.5236363636363637,0.16887626262626262,1,118,56,0,0,0,23,9,-66.23,1,0,0,144,35,-0.010722835548222065,0.0,0.72,0.28,0.9908,52.1,61.36470588235294
Pride,87,4,3.689655172413793,21.75,0.6551724137931034,0.32,1,34,14,0,0,0,8,2,10.57,0,0,0,57,7,-0.009041129611432552,0.0,0.727,0.273,0.8712,20.5,30.857142857142858
Frustration,136,5,3.6544117647058822,27.2,0.6544117647058824,-0.25535714285714284,4,54,23,1,0,0,10,10,32.57,0,3,1,89,14,-0.008924114517867565,0.375,0.535,0.09,-0.9694,22.4,32.0
Joy,107,4,3.682242990654206,26.75,0.6261682242990654,0.275,4,39,15,0,0,0,2,5,39.34,1,0,0,67,14,-0.009023669175803661,0.0,0.716,0.284,0.9307,17.7,27.0
Frustration,129,11,3.294573643410853,11.727272727272727,0.5891472868217055,-0.1977922077922078,1,51,21,0,1,0,10,5,27.16,2,1,0,76,24,-0.009169002063572407,0.306,0.615,0.079,-0.9169,22.4,30.49230769230769
Neutral,275,30,3.6654545454545455,9.166666666666666,0.5127272727272727,0.19795783926218707,4,120,58,0,0,0,26,9,-59.8,1,0,0,141,35,-0.01086418703198433,0.0,0.705,0.295,0.9917,51.7,61.309090909090905
Pride,183,10,3.387978142076503,18.3,0.5245901639344263,0.2217592592592592,4,71,22,0,1,0,12,8,6.86,1,1,0,96,22,-0.010078881867229939,0.086,0.484,0.43,0.9834,30.2,37.46666666666666
Shame,313,10,3.2108626198083066,31.3,0.41533546325878595,-0.05496894409937888,2,123,54,0,0,0,24,10,-37.46,2,1,0,130,46,-0.009487458504736423,0.157,0.717,0.126,-0.7441,49.3,59.01935483870969
Joy,335,10,3.244776119402985,33.5,0.3880597014925373,0.15219587176108915,0,125,40,0,0,0,30,9,-31.03,6,1,1,130,44,-0.010109668597579002,0.028,0.756,0.216,0.9674,48.9,57.47936507936509
