label,mfccs_mean,mfccs_var,total-mfccs_var,chroma-stft_mean,mel-spectrogram_mean,tonnetz_mean,spectral-bandwidth_mean,spectral-rolloff_mean,rmse_mean,spectral-flatness_mean,pitch_mean,envelope_mean,zcr_mean,spectral-contrast_mean,temporal-centroid,harmonic-to-noise-ratio,spectral-centroid_mean,tempo,poly-features_mean,rms-energy_mean,crest-factor
Joy,-46.42846598402019,1840.7819119051053,23930.164854766368,0.27209633053545323,0.11073747601029396,0.008497142670819932,575.5050743092039,1837.1756939785635,0.010987627,0.0409786770041005,1084.656223549796,1.540549206499211,0.22108268261669994,24.945560410866143,247.5989366601002,0.07068455018568676,1323.3797154299234,86.1328125,0.10528211291228642,0.010987627,22.906402362736348
Frustration,-49.710994225945846,2008.654723561181,26112.511406295354,0.28541560014669554,0.06457385702747696,0.0075042592990805365,657.2489470244765,1809.1066460083716,0.008257206,0.048908733196402064,878.7968457538187,1.5451791318955395,0.19792626858679885,24.54066007684434,227.1801263901292,-0.17388413116941256,1199.7877110319678,161.4990234375,0.08109538669471189,0.008257206,27.176487089923903
Neutral,-43.71336800460734,762.7925851944009,9916.303607527212,0.2953046830245183,0.03865106376912068,0.004790264738928215,663.6856487102683,2034.5832665286846,0.0037611849,0.024309309082923277,1196.1365359538113,0.7057478457681413,0.24200166161380596,24.3823069104789,265.7781219494451,14.086772322392333,1395.0243409278276,184.5703125,0.036507612955111554,0.0037611849,49.738306804546
Shame,-48.88433226565354,1966.9271459489887,25570.052897336853,0.3012114410371909,0.07135596082662324,2.288561040867192e-05,671.7284117177597,1899.7607346289667,0.008262588,0.0480287931360356,1008.4339393441622,1.3646577394566488,0.21426577415505677,24.28171530135199,235.058163385237,-6.3536027376297675,1258.105745102412,161.4990234375,0.08267153366596357,0.008262588,21.340880990627195
Pride,-47.0342825386238,1730.8319671122808,22500.81557245965,0.28956188521684134,0.08419939006451173,0.006528847075648952,678.4682834325259,1960.3387734522037,0.0091125,0.0379620786859106,1096.831353803875,1.4998407005332721,0.22495674698086573,24.35829245300863,205.86729962715518,0.23706696781173403,1348.150907179537,129.19921875,0.09247830070083131,0.0091125,18.96257652513771
Joy,-50.12013556744445,2412.895735189311,31367.644557461044,0.2997304411048199,0.0979310466160798,0.0036575390266260425,683.7100394354397,1839.1598510742188,0.011104418,0.0579674774950486,907.2440781934913,1.7455783904458853,0.20494152250744047,24.373876072982792,235.3163574038866,-0.08814075118321256,1210.7710926371124,215.33203125,0.11163098779352133,0.011104418,18.122194779394835
Shame,-47.464815559319284,1107.2887871647918,14394.754233142294,0.2806839724797611,0.03247007683384022,0.0026403797256187573,657.7528963921236,1887.0707546119802,0.0043447725,0.026329473936756772,1022.6218162292035,0.8287660824606283,0.21750549084529336,25.357294504116783,237.4583898542121,-3.4178261120868885,1260.7582475296595,161.4990234375,0.039717396771128226,0.0043447725,37.65145089719755
Neutral,-49.59479928772889,1280.5193246405954,16646.75122032774,0.29602702287045746,0.03052064281372568,0.004235212855659937,651.814074279657,2013.0516281974296,0.003913253,0.030038831140907572,1180.897010356319,0.9796516970337072,0.23738129581022188,24.013318972800423,281.7953108366771,9.563215385079756,1384.0317087553988,161.4990234375,0.03963480825126061,0.003913253,54.797667671171986
Frustration,-46.88585733195285,1445.4854520670187,18791.310876871245,0.2700572440243828,0.05372832383715956,0.004181904519300367,696.8158973028467,2007.6259332970728,0.007114184,0.016903749526442878,1026.7391043883556,1.3064253137854902,0.21370566323839663,25.60851609848219,273.03514874055605,2.112676518402942,1336.1581314213306,129.19921875,0.06184392851724604,0.007114184,21.611229681279564
Pride,-48.17189208771138,1518.0160518011155,19734.2086734145,0.2846913688796817,0.045347470526313965,0.001751440266089481,657.6643068051843,1881.449001736111,0.00629541,0.03023203109486971,1004.1173341689356,1.2771473070582318,0.21031081211419753,25.356360586516903,257.6759474752147,-0.3490767807665335,1262.3570896189485,117.45383522727273,0.0556456945151477,0.00629541,24.679904929154638
Joy,-48.0393731610143,1745.247833280869,22688.221832651296,0.2814303167714967,0.08614055293869644,-0.008102571574300674,646.1270287398291,1865.6696930285673,0.0091809835,0.042506049258353946,1018.7335774355702,1.4560927290139871,0.20591534041473317,25.502588079168675,228.27983921857248,0.16665413806910093,1263.6758500462913,161.4990234375,0.0816930438108601,0.0091809835,26.65295982108511
Pride,-45.411830727876904,1884.1202367363103,24493.563077572035,0.27532411983497834,0.2528914566973782,-0.00891363920447381,596.3646425962582,1754.3399149643353,0.016221374,0.06620519162110747,934.9703425103896,1.7138015694186772,0.20308284622302158,24.863552903167264,179.7804452160949,0.67810579802517,1207.733900855262,86.1328125,0.15334391476248344,0.016221374,23.80456713092323
Neutral,-47.9032845166164,966.4490364407836,12563.837473730187,0.2967489307584815,0.03804923598359865,0.0029419014443207376,679.6926478754657,2009.512787561706,0.0034956764,0.030994008952043576,1149.2431051916485,0.7399332421990235,0.23467887973804327,23.237039419259396,230.35311676023608,1.0273580187423645,1356.338026904095,143.5546875,0.03703601430297414,0.0034956764,42.1452491169852
Shame,-43.43114427371222,1606.0010809930257,20878.014052909333,0.2799872874824469,0.2599662231198305,-0.0026368691197622505,608.5097390796512,1785.64356446646,0.014777324,0.14778970671073252,978.0043985612182,1.286286282879121,0.20728750320038689,24.229379485010494,187.40341410258827,-4.458146209354666,1241.123071485285,107.666015625,0.142147635742295,0.014777324,23.20087875757652
Frustration,-44.99344483541154,1845.926044145135,23997.038573886755,0.27918220255416276,0.23271005874128914,-0.0015322092292282907,580.358011361394,1683.453730350199,0.015530777,0.10681407760248686,898.9130182820903,1.6234231928662348,0.1964624430955994,23.937714813992837,183.4254049740527,-0.8254324045383207,1157.4839735757457,161.4990234375,0.14799854966398965,0.015530777,20.779558018062133
Joy,-43.59449413865601,1627.951662475664,21163.371612183633,0.2690882969853158,0.2788584361208753,-0.00781289341331918,600.0153524662687,1791.4355632802956,0.015734376,0.08605490669668073,966.9869148273865,1.4570639511450134,0.20963700748320097,25.083774670936197,176.15074008862203,-2.6127424737950204,1229.8741824545657,129.19921875,0.14298045279453572,0.015734376,19.485145734883172
Frustration,-45.91522177744166,1800.8772111064025,23411.40374438323,0.29272958315848696,0.1316685325522162,0.0030993952128311767,638.2977945892011,1893.3616228920637,0.010219467,0.12167272260355332,967.2412140288061,1.3559369386711795,0.21477768152021617,24.008936822997875,254.7344773577738,-7.540556835664579,1299.0876046589708,161.4990234375,0.10454548459744678,0.010219467,28.80124291339418
Neutral,-47.84042659648638,1332.8836263931626,17327.487143111113,0.27964879896296,0.05489227475303982,0.002893304041083539,649.2989470745463,1983.5154724877602,0.005480972,0.03872724405376193,1158.6698094041847,0.9926208275255046,0.23651557787452487,23.34867698597187,234.21063472297683,-1.2654435573389256,1370.1125133753812,92.28515625,0.054415141737495384,0.005480972,40.54470153245904
Pride,-46.31372947668423,2164.724594009017,28141.41972211722,0.2913152761232114,0.16711586681697252,0.0013606333174574275,654.6580779176173,1972.8848458156438,0.0122265145,0.11072865658214014,991.5879446156355,1.6711808821403424,0.21932309020313845,23.11124873763195,248.30460527023138,-0.6083517139399038,1352.659517912926,184.5703125,0.13219222132309374,0.0122265145,35.29644421253225
Shame,-45.46239707196675,1912.452048275985,24861.876627587804,0.29256246428046484,0.18372301125090373,-0.005590681998936492,674.2910977700642,1965.9345453435724,0.012321935,0.08119347755052864,951.7950094361088,1.360131040939406,0.2148007479580966,24.354793388457395,237.22188929442441,-0.9177012456669116,1312.7925645903845,129.19921875,0.12419111405361702,0.012321935,20.79587790222741
Joy,-47.306259647029954,2055.630098790426,26723.191284275537,0.26654714166184756,0.12660890421940224,0.0032010559974569143,734.2993942147855,2165.445556640625,0.012169351,0.043756910219057435,1079.4077420559524,1.7609697196814844,0.23569859095982143,25.05468258941731,241.23067873529965,-1.0914405799487081,1479.8829517207105,92.28515625,0.11863313073769224,0.012169351,16.287168761592092
Frustration,-45.788729900880554,837.7721341342466,10891.037743745206,0.29746515428288994,0.018251856950413467,0.004463292237913888,696.5075534392994,2016.8245554956898,0.002805043,0.02913197546605758,1126.874174744328,0.7575928222051774,0.24036413433908047,25.212834220922456,214.98320560394006,-0.0699569161237796,1342.3399138345346,99.38401442307692,0.029082798536885092,0.002805043,42.5606097606061
Neutral,-47.584430599891476,1200.3689803810073,15604.796744953095,0.29291904241416944,0.04503710099362753,0.003520990815370516,659.213083088397,1993.3584859329842,0.004762638,0.05163325207592476,1182.4967318170306,0.9358983244738077,0.24003774536368017,24.018745180707313,224.2544969767083,-1.2218468782018208,1378.4318165266022,92.28515625,0.04910584896849821,0.004762638,45.89837305200596
Shame,-46.44102183072878,1168.444883276809,15189.783482598517,0.2891270549146635,0.04533969611624545,0.002680920431916666,685.2477369089859,2010.355224609375,0.0049461816,0.032389727713341296,1182.9956926184886,0.8730703788519995,0.24112897600446428,25.509998047720643,219.19158452611435,-0.08638006888792076,1368.1608507859873,129.19921875,0.047005599179872404,0.0049461816,40.71068928992864
Pride,-51.48960367685064,1569.3562587014637,20401.631363119028,0.2873726623434978,0.027168232694019582,0.0009604232769900256,657.6425237175289,1980.1401863164951,0.004250778,0.057567347129403014,1195.3486941258807,1.071361790184257,0.24056915977999124,25.17808247723102,224.90225175031486,0.448023038358145,1376.1170740960397,80.74951171875,0.04151485208557508,0.004250778,30.36332957304286
Joy,-45.24430663593555,1735.9294893753581,22567.083361879657,0.2807267627909237,0.15903252894049114,-0.000382958555261375,685.3241745305941,1969.6015302459737,0.0115658175,0.11876581820820917,1061.886721742757,1.3436463671264174,0.22669918042838458,24.687922283038294,210.8764240395423,0.061447358041118304,1333.608180255352,129.19921875,0.11465786733010386,0.0115658175,22.847764702037026
Shame,-47.71126011032443,1811.1448768951943,23544.883399637525,0.2893548219407921,0.10109423425593034,0.003526232552017119,635.892469983098,1972.2312122932483,0.008608686,0.07838683380944662,1146.869617738674,1.4489658799088165,0.24011701803145336,24.374976963448532,228.66503461129125,-1.0072807794484004,1392.9808661296097,129.19921875,0.09209687163604054,0.008608686,34.57004375139236
Neutral,-46.01019061660058,780.5752492369654,10147.47824008055,0.2902774092488872,0.028601876577198385,0.005600241219459846,674.5163951633481,2065.817013713224,0.0029409048,0.014437516766824279,1246.9472646910408,0.704946545004076,0.2491432275451432,24.66906090931271,247.3498149882291,-7.470773582465084,1424.5833351041251,143.5546875,0.029396454502461374,0.0029409048,57.759692864309535
Pride,-46.90588825771744,2157.559998340104,28048.27997842135,0.2687621525456046,0.18923343612035362,0.009407373603757886,618.7661552617773,1931.1817465588736,0.014462158,0.09117104370213656,1091.3467037449936,1.6604391094712627,0.22976786192923815,25.356782263532818,220.35551451117317,1.282860076854521,1366.6393365941315,75.99954044117646,0.14416774578059707,0.014462158,20.357882115098057
Frustration,-48.0284159905892,1867.1821110685098,24273.367443890627,0.2867495161857765,0.10647143333392475,0.005550011180648842,643.877175868064,1944.4919644273477,0.009194227,0.06584928308478756,1079.8360605204593,1.419916673594335,0.23188968738669324,24.686802068249737,209.50420292371172,-1.6862983731104386,1333.3977805625684,143.5546875,0.09724060198324545,0.009194227,26.6636281781035
Joy,-47.30318752259428,1798.287312842371,23377.735066950823,0.28206208402028804,0.09398564340951773,0.008200485030646952,635.8371957901576,2005.1998901367188,0.008925999,0.0542639518473044,1152.9311983553596,1.4417453165576075,0.2410235969387755,24.79258101409971,216.8902755554455,-0.6145034972872634,1410.8122846031636,117.45383522727273,0.09083362840875066,0.008925999,33.65753895769849
Pride,-47.580232134812526,1578.5760055270184,20521.48807185124,0.2782294649872861,0.08321581078998407,-0.0023306014752327493,647.4190449669617,1844.5286549805285,0.008651798,0.022075612690786735,949.6419391227085,1.4350043514990058,0.20462414573152107,24.729528915770505,217.98692927912242,4.932893543118523,1237.522891532079,184.5703125,0.07736273544120316,0.008651798,26.316406936494623
Neutral,-48.49584548464968,980.912903246405,12751.867742203265,0.29089254656892083,0.028978982840978575,0.002983282209191346,702.62884546739,2040.705623598783,0.003425263,0.023705362578838724,1138.108320869983,0.7867197611793906,0.24066260409040996,23.716398019806242,230.12986609214914,-1.3798793156438642,1369.1331778520266,161.4990234375,0.032690184790116095,0.003425263,50.501171685201804
Frustration,-48.89930456828448,1669.8703868632306,21708.315029221998,0.26958787190579253,0.0632292767522688,0.00012562479192502072,615.7904561676119,1804.711482628963,0.007551788,0.026663189110593736,978.5607766440243,1.507331641447439,0.20948568385091823,24.586098085268343,215.2456103371771,-0.18279831185262344,1239.4112164846656,161.4990234375,0.0706584149037758,0.007551788,28.912014308390365
